elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary,rawLinearAccelMagnitudeMps2,rawGyroMagnitudeRadPerSec
14740,GNSS_AIDED,2.68,878,5.2728143,0.0,0.0,11.428293708428885,0.5700055149676624,true,15.64699477326462,0.7988731861114502
14834,GNSS_AIDED,2.68,1079,5.2728143,0.0,0.0,14.251487425823166,0.5372731862383727,true,21.793695463003647,0.6040555834770203
14940,GNSS_AIDED,2.68,1079,5.2728143,0.0,0.0,7.916860178564673,0.5044315765910314,true,8.092083281665154,0.5317420959472656
15040,GNSS_AIDED,2.64,281,5.128692,0.0,0.0,10.269068337964175,0.7453648411992435,true,17.756498414798745,0.988063633441925
15139,GNSS_AIDED,2.64,281,5.128692,0.0,0.0,5.359963886389625,0.6929695928529098,true,4.276100862997779,0.8290504217147827
15240,GNSS_AIDED,2.64,482,5.128692,0.0,0.0,8.775117223065314,1.0435936755574937,true,11.971333440799095,1.4898817539215088
15339,GNSS_AIDED,2.64,482,5.128692,0.0,0.0,9.845182770957347,1.0457050554289793,true,10.934868304068422,1.144856333732605
15439,GNSS_AIDED,2.64,682,5.128692,0.0,0.0,8.9666089055219,0.9504492771933662,true,8.566675641924723,1.112984299659729
15539,GNSS_AIDED,2.64,682,5.128692,0.0,0.0,10.451614603372139,0.7115216165307864,true,13.644635917444358,0.5369449257850647
15638,GNSS_AIDED,2.64,883,5.128692,0.0,0.0,15.125279184193028,0.594755702068882,true,19.173843999567342,0.885573148727417
15739,GNSS_AIDED,2.64,883,5.128692,0.0,0.0,16.764387287229862,1.37529790621103,true,23.648126494899124,2.0311968326568604
15839,GNSS_AIDED,2.64,1082,5.128692,0.0,0.0,6.0014973591595275,0.34953644152543883,true,3.1759498243965814,1.1056607961654663
15940,GNSS_AIDED,2.64,1082,5.128692,0.0,0.0,4.877845115141559,1.17962536045413,true,9.340264836551164,2.111865282058716
16039,GNSS_AIDED,2.6,285,4.728753,0.0,0.0,12.088349848505244,0.8516746950319328,true,25.25810558709614,1.945183515548706
16139,GNSS_AIDED,2.6,285,4.728753,0.0,0.0,8.829937415190068,0.993108891281768,true,25.268358705615526,1.2867547273635864
16238,GNSS_AIDED,2.6,485,4.728753,0.0,0.0,20.245631504348644,2.1172346633363586,true,29.999554371161096,3.1234993934631348
16341,GNSS_AIDED,2.6,485,4.728753,0.0,0.0,18.079818917309385,1.2063881727490184,true,16.83664464834,0.5570434927940369
16440,GNSS_AIDED,2.6,689,4.728753,0.0,0.0,13.87040147164337,1.3106960170186155,true,11.965699270021378,3.186359167098999
16540,GNSS_AIDED,2.6,689,4.728753,0.0,0.0,12.41452467395637,2.083997246942153,true,27.107511868613674,2.713698625564575
16641,GNSS_AIDED,2.6,889,4.728753,0.0,0.0,16.509862298265933,0.6215624615801395,true,25.99474647546958,2.5262629985809326
16740,GNSS_AIDED,2.6,889,4.728753,0.0,0.0,3.277345709534802,1.052857814502972,true,18.394173341050493,1.6159876585006714
